"prod_id","prod_brand","prod_name","prod_desc","prod_cost","prod_rating","rev_count","prod_url"
1,"Asus","ASUS ZenFone 2 Unlocked Smartphone, 16GB, Silver (U.S. Warranty)","None 16 GB Silver ASUS, ZenFone2 , Silver, 5.5&rdquo; TFT LED Backlight (400nits) FHD IPS, Intel Atom Quad Core Z3560 (1.8GHz), PowerVR G6430, with OpenGL 3.0 support, 2GB LPDDR3, 2 SIM card slots, Micro SIM, GSM/GPRS/EDGE; HSPA+/DC-HSPA+; FDD-LTE, 16GB Storage,, Micro SD Card slot support up to 64GB, Integrated 802.11AC, GPS, AGPS, Android Lollipop 5.0.",199.00,4.20,1726,"http://www.amazon.com/ZenFone-Unlocked-Smartphone-Silver-Warranty/dp/B00VWKKF52"
2,"Asus","ASUS ZenFone 2 Unlocked Cellphone , 64GB, Silver (U.S. Warranty)","None 64 GB Silver ASUS, ZenFone2 , Sliver, 5.5&#x201D; TFT LED Backlight (400nits) FHD IPS, Intel Atom Quad Core Z3580 (2.3GHz), PowerVR G6430, with OpenGL 3.0 support, 4GB LPDDR3, 2 SIM card slots, Micro SIM, GSM/GPRS/EDGE; HSPA+/DC-HSPA+; FDD-LTE, 64GB Storage, Micro SD Card slot support up to 64GB, Integrated 802.11AC, GPS, AGPS, Android Lollipop 5.0",299.00,4.20,1726,"http://www.amazon.com/ZenFone-Unlocked-Cellphone-Silver-Warranty/dp/B00VWKKHKU"
3,"Asus","ASUS ZenFone 2 Unlocked Cellphone, 64GB, Black (U.S. Warranty)","None 64 GB Black ASUS, ZenFone2 , Black, 5.5&#x201D; TFT LED Backlight (400nits) FHD IPS, Intel Atom Quad Core Z3580 (2.3GHz), PowerVR G6430, with OpenGL 3.0 support, 4GB LPDDR3, 2 SIM card slots, Micro SIM, GSM/GPRS/EDGE; HSPA+/DC-HSPA+; FDD-LTE, 64GB Storage, Micro SD Card slot support up to 64GB, Integrated 802.11AC, GPS, AGPS, Android Lollipop 5.0",299.00,4.20,1726,"http://www.amazon.com/ZenFone-Unlocked-Cellphone-Black-Warranty/dp/B00VWKKEYO"
4,"Asus","ASUS ZenFone2 Unlocked Smartphone, 16GB, 4GB RAM, Black - ZE551ML (U.S. Warranty)","None 16 GB Black ASUS, ZenFone2 , Black, 5.5&#x201D; TFT LED Backlight (400nits) FHD IPS, Intel Atom Quad Core Z3560 (1.8GHz), PowerVR G6430, with OpenGL 3.0 support, 4GB LPDDR3, 2 SIM card slots, Micro SIM, GSM/GPRS/EDGE; HSPA+/DC-HSPA+; FDD-LTE, 16GB Storage, Micro SD Card slot support up to 64GB, Integrated 802.11AC, GPS, AGPS, Android Lollipop 5.0",229.00,4.20,1726,"http://www.amazon.com/ASUS-ZenFone2-Unlocked-Smartphone-Black/dp/B014MTBTIG"
5,"Asus","ASUS ZenFone 2 Unlocked Cellphone, 64GB, Red (U.S. Warranty)","None 64 GB Red ASUS, ZenFone2 , Red, 5.5&#x201D; TFT LED Backlight (400nits) FHD IPS, Intel Atom Quad Core Z3580 (2.3GHz), PowerVR G6430, with OpenGL 3.0 support, 4GB LPDDR3, 2 SIM card slots, Micro SIM, GSM/GPRS/EDGE; HSPA+/DC-HSPA+; FDD-LTE, 64GB Storage, Micro SD Card slot support up to 64GB, Integrated 802.11AC, GPS, AGPS, Android Lollipop 5.0",299.00,4.20,1726,"http://www.amazon.com/ASUS-ZenFone-Unlocked-Cellphone-Warranty/dp/B00VWKKHE6"
6,"Asus","ASUS ZenFone 2 Unlocked Cellphone, 64GB, Gold (U.S. Warranty)","None 64 GB Gold ASUS, ZenFone2 , Gold,5.5&#x201D; TFT LED Backlight (400nits) FHD IPS, Intel Atom Quad Core Z3580 (2.3GHz), PowerVR G6430, with OpenGL 3.0 support, 4GB LPDDR3, 2 SIM card slots, Micro SIM, GSM/GPRS/EDGE; HSPA+/DC-HSPA+; FDD-LTE, 64GB Storage, Micro SD Card slot support up to 64GB, Integrated 802.11AC, GPS, AGPS, Android Lollipop 5.0",299.00,4.20,1726,"http://www.amazon.com/ASUS-ZenFone-Unlocked-Cellphone-Warranty/dp/B00VWKKEY4"
7,"Asus","Padfone X Mini -  AT&amp;T Prepaid GoPhone (Black)","Connect to the world in style with this AT&amp;T ASUS PadFone X Mini. It runs on Android 4.4 KitKat and features a 7-inch touchscreen tablet mode when docked in its charging station. In addition, this AT&amp;T Smartphone features a 4.5&quot; touchscreen, a 5MP rear camera and a 2MP front camera for added versatility. It also has 8GB of expandable memory and dual webcams that make it an ideal tool for communication and entertainment. It allows the user to make and receive calls in tablet mode and provides a full tablet view for playing games, watching movies and videos and viewing photos. AT&amp;T ASUS PadFone X mini Smartphone: The phone that turns into a tablet 4G LTE Android 4.4 (KitKat) OS 4.5&quot; touchscreen 5MP rear camera, 2MP front camera 8GB memory (expandable to 64GB via micro SD card slot) Tablet mode when docked in station 7&quot; touchscreen tablet Full tablet view for games, video, photos and more Android 4.4 smartphone allows the user to make and receive calls in tablet mode Docking station charges the phone when docked",171.85,4.00,53,"http://www.amazon.com/Padfone-Mini-Prepaid-GoPhone-Black/dp/B00OU4G7GS"
8,"Asus","ASUS ZenFone 2 Unlocked Cellphone, 16GB, Black","None Black ASUS, ZenFone2 , Black, 5.5&#x201D; TFT LED Backlight (400nits) FHD IPS, Intel Atom Quad Core Z3560 (1.8GHz), PowerVR G6430, with OpenGL 3.0 support, 2GB LPDDR3, 2 SIM card slots, Micro SIM, GSM/GPRS/EDGE; HSPA+/DC-HSPA+; FDD-LTE, 16GB Storage, Micro SD Card slot support up to 64GB, Integrated 802.11AC, GPS, AGPS, Android Lollipop 5.0",289.99,4.00,62,"http://www.amazon.com/ASUS-ZenFone-Unlocked-Cellphone-Black/dp/B00VWKKET4"
9,"Asus","ASUS ZenFone 2 ZE550ML 4G LTE Factory Unlocked (Dual-SIM | 2GB RAM/16GB ROM | GLAMOR RED) - International Version No Warranty","None Red, White, Black In the Box: Smartphone, USB cable, USB Charger (North America two parallel blades), Headset, Manual, Warranty Card",-1.00,4.70,48,"http://www.amazon.com/ZenFone-ZE550ML-Factory-Unlocked-Dual-SIM/dp/B00UMP5HMY"
10,"Asus","Zenfone 2E AT&amp;T (No-Contract)","Customizable ASUS smartphone that comes with interchangeable White and Black battery covers.",119.00,2.00,5,"http://www.amazon.com/Zenfone-2E-AT-T-No-Contract/dp/B01293HADA"
